gameid,teamname,result
ESPORTSTMNT04_2411473,Nongshim RedForce,0
ESPORTSTMNT04_2411473,BNK FEARX,1
ESPORTSTMNT03_2830555,PSG Talon,1
ESPORTSTMNT03_2830555,Dewish Team,0
ESPORTSTMNT01_2983910,GAM Esports,1
ESPORTSTMNT01_2983910,AS Esports,0
ESPORTSTMNT01_2983914,AS Esports,0
ESPORTSTMNT01_2983914,GAM Esports,1
ESPORTSTMNT03_2830562,Deep Cross Gaming,1
ESPORTSTMNT03_2830562,CTBC Flying Oyster,0
ESPORTSTMNT04_2411474,Hanwha Life Esports,0
ESPORTSTMNT04_2411474,Dplus KIA,1
ESPORTSTMNT01_2983932,SBTC Esports,0
ESPORTSTMNT01_2983932,Genius Esports,1
ESPORTSTMNT03_2830574,Impunity,1
ESPORTSTMNT03_2830574,West Point Esports,0
ESPORTSTMNT04_2411485,Hanwha Life Esports,0
ESPORTSTMNT04_2411485,Dplus KIA,1
ESPORTSTMNT01_2983935,Genius Esports,0
ESPORTSTMNT01_2983935,SBTC Esports,1
ESPORTSTMNT03_2830575,Beyond Gaming,0
ESPORTSTMNT03_2830575,Frank Esports,1
ESPORTSTMNT01_2983943,SBTC Esports,1
ESPORTSTMNT01_2983943,Genius Esports,0
ESPORTSTMNT05_2940471,RED Canids,1
ESPORTSTMNT05_2940471,INTZ,0
ESPORTSTMNT05_2940485,FURIA,1
ESPORTSTMNT05_2940485,LOUD,0
ESPORTSTMNT05_2940496,Rensga eSports,0
ESPORTSTMNT05_2940496,Liberty,1
ESPORTSTMNT05_2940522,paiN Gaming,1
ESPORTSTMNT05_2940522,Los Grandes,0
ESPORTSTMNT05_2940545,Miners,0
ESPORTSTMNT05_2940545,KaBuM! Esports,1
ESPORTSTMNT04_2411510,DRX,0
ESPORTSTMNT04_2411510,Gen.G,1
ESPORTSTMNT03_2820800,HELL PIGS,1
ESPORTSTMNT03_2820800,West Point Esports,0
ESPORTSTMNT04_2411522,DRX,0
ESPORTSTMNT04_2411522,Gen.G,1
ESPORTSTMNT01_2984154,Team Secret,0
ESPORTSTMNT01_2984154,MGN Vikings Esports,1
ESPORTSTMNT03_2820807,Impunity,1
ESPORTSTMNT03_2820807,Beyond Gaming,0
ESPORTSTMNT01_2984156,MGN Vikings Esports,0
ESPORTSTMNT01_2984156,Team Secret,1
ESPORTSTMNT03_2820811,Frank Esports,0
ESPORTSTMNT03_2820811,Deep Cross Gaming,1
ESPORTSTMNT04_2411526,T1,1
ESPORTSTMNT04_2411526,OKSavingsBank Brion,0
ESPORTSTMNT01_2984157,Team Secret,1
ESPORTSTMNT01_2984157,MGN Vikings Esports,0
ESPORTSTMNT03_2820816,CTBC Flying Oyster,1
ESPORTSTMNT03_2820816,Dewish Team,0
ESPORTSTMNT04_2411536,OKSavingsBank Brion,0
ESPORTSTMNT04_2411536,T1,1
ESPORTSTMNT03_2820823,PSG Talon,1
ESPORTSTMNT03_2820823,J Team,0
ESPORTSTMNT01_2984169,Team Whales,0
ESPORTSTMNT01_2984169,CERBERUS Esports,1
ESPORTSTMNT01_2984173,CERBERUS Esports,0
ESPORTSTMNT01_2984173,Team Whales,1
ESPORTSTMNT01_2984184,Team Whales,1
ESPORTSTMNT01_2984184,CERBERUS Esports,0
ESPORTSTMNT05_2940652,LOUD,0
ESPORTSTMNT05_2940652,Los Grandes,1
ESPORTSTMNT05_2940663,Miners,1
ESPORTSTMNT05_2940663,Liberty,0
ESPORTSTMNT05_2940678,KaBuM! Esports,0
ESPORTSTMNT05_2940678,FURIA,1
ESPORTSTMNT05_2940695,Rensga eSports,0
ESPORTSTMNT05_2940695,INTZ,1
ESPORTSTMNT05_2940706,RED Canids,0
ESPORTSTMNT05_2940706,paiN Gaming,1
ESPORTSTMNT05_2951501,Hanwha Life Esports,0
ESPORTSTMNT05_2951501,T1,1
ESPORTSTMNT05_2951513,Hanwha Life Esports,1
ESPORTSTMNT05_2951513,T1,0
ESPORTSTMNT05_2951542,T1,1
ESPORTSTMNT05_2951542,Hanwha Life Esports,0
ESPORTSTMNT05_2951551,Gen.G,1
ESPORTSTMNT05_2951551,BNK FEARX,0
ESPORTSTMNT05_2951582,BNK FEARX,0
ESPORTSTMNT05_2951582,Gen.G,1
ESPORTSTMNT05_2951924,KT Rolster,0
ESPORTSTMNT05_2951924,DRX,1
ESPORTSTMNT05_2951965,KT Rolster,1
ESPORTSTMNT05_2951965,DRX,0
ESPORTSTMNT01_2985027,CERBERUS Esports,1
ESPORTSTMNT01_2985027,Team Secret,0
ESPORTSTMNT05_2951988,DRX,0
ESPORTSTMNT05_2951988,KT Rolster,1
ESPORTSTMNT05_2951991,Dplus KIA,1
ESPORTSTMNT05_2951991,Kwangdong Freecs,0
ESPORTSTMNT01_2985033,Team Secret,1
ESPORTSTMNT01_2985033,CERBERUS Esports,0
ESPORTSTMNT01_2985038,CERBERUS Esports,0
ESPORTSTMNT01_2985038,Team Secret,1
ESPORTSTMNT05_2952017,Kwangdong Freecs,0
ESPORTSTMNT05_2952017,Dplus KIA,1
ESPORTSTMNT01_2985042,MGN Vikings Esports,1
ESPORTSTMNT01_2985042,GAM Esports,0
ESPORTSTMNT01_2985043,GAM Esports,0
ESPORTSTMNT01_2985043,MGN Vikings Esports,1
ESPORTSTMNT05_2952287,OKSavingsBank Brion,1
ESPORTSTMNT05_2952287,Nongshim RedForce,0
ESPORTSTMNT02_2912638,Frank Esports,1
ESPORTSTMNT02_2912638,Dewish Team,0
ESPORTSTMNT05_2942187,Nongshim RedForce,0
ESPORTSTMNT05_2942187,OKSavingsBank Brion,1
ESPORTSTMNT01_3010016,AS Esports,0
ESPORTSTMNT01_3010016,SBTC Esports,1
ESPORTSTMNT02_2912654,Deep Cross Gaming,1
ESPORTSTMNT02_2912654,West Point Esports,0
ESPORTSTMNT05_2952305,BNK FEARX,1
ESPORTSTMNT05_2952305,Hanwha Life Esports,0
ESPORTSTMNT01_3010019,SBTC Esports,1
ESPORTSTMNT01_3010019,AS Esports,0
ESPORTSTMNT02_2912668,J Team,1
ESPORTSTMNT02_2912668,Impunity,0
ESPORTSTMNT05_2942209,Hanwha Life Esports,0
ESPORTSTMNT05_2942209,BNK FEARX,1
ESPORTSTMNT02_2912678,Beyond Gaming,1
ESPORTSTMNT02_2912678,CTBC Flying Oyster,0
ESPORTSTMNT01_3010023,Genius Esports,1
ESPORTSTMNT01_3010023,Team Whales,0
ESPORTSTMNT02_2912708,HELL PIGS,0
ESPORTSTMNT02_2912708,PSG Talon,1
ESPORTSTMNT01_3010024,Team Whales,0
ESPORTSTMNT01_3010024,Genius Esports,1
ESPORTSTMNT05_2942241,Astralis,1
ESPORTSTMNT05_2942241,GiantX,0
ESPORTSTMNT05_2942250,Team BDS,0
ESPORTSTMNT05_2942250,MAD Lions KOI,1
ESPORTSTMNT05_2942258,Fnatic,0
ESPORTSTMNT05_2942258,Misfits Gaming,1
ESPORTSTMNT05_2942299,G2 Esports,0
ESPORTSTMNT05_2942299,SK Gaming,1
ESPORTSTMNT05_2942323,Rogue,1
ESPORTSTMNT05_2942323,Team Vitality,0
ESPORTSTMNT05_2942470,KT Rolster,1
ESPORTSTMNT05_2942470,Kwangdong Freecs,0
ESPORTSTMNT02_2912971,PSG Talon,1
ESPORTSTMNT02_2912971,Impunity,0
ESPORTSTMNT05_2942491,Kwangdong Freecs,0
ESPORTSTMNT05_2942491,KT Rolster,1
ESPORTSTMNT01_3000130,Team Whales,0
ESPORTSTMNT01_3000130,Team Secret,1
ESPORTSTMNT05_2942496,DRX,0
ESPORTSTMNT05_2942496,T1,1
ESPORTSTMNT02_2912982,West Point Esports,1
ESPORTSTMNT02_2912982,Dewish Team,0
ESPORTSTMNT01_3000139,Team Secret,0
ESPORTSTMNT01_3000139,Team Whales,1
ESPORTSTMNT02_2882997,Deep Cross Gaming,1
ESPORTSTMNT02_2882997,Beyond Gaming,0
ESPORTSTMNT01_3000143,Team Whales,0
ESPORTSTMNT01_3000143,Team Secret,1
ESPORTSTMNT05_2942515,DRX,0
ESPORTSTMNT05_2942515,T1,1
ESPORTSTMNT02_2883013,CTBC Flying Oyster,1
ESPORTSTMNT02_2883013,J Team,0
ESPORTSTMNT02_2883038,HELL PIGS,0
ESPORTSTMNT02_2883038,Frank Esports,1
ESPORTSTMNT01_3000161,Genius Esports,0
ESPORTSTMNT01_3000161,GAM Esports,1
ESPORTSTMNT01_3000167,GAM Esports,1
ESPORTSTMNT01_3000167,Genius Esports,0
ESPORTSTMNT05_2952637,SK Gaming,1
ESPORTSTMNT05_2952637,GiantX,0
ESPORTSTMNT05_2952660,MAD Lions KOI,1
ESPORTSTMNT05_2952660,Astralis,0
ESPORTSTMNT05_2952661,RED Canids,1
ESPORTSTMNT05_2952661,Rensga eSports,0
ESPORTSTMNT05_2942587,Team BDS,0
ESPORTSTMNT05_2942587,Rogue,1
ESPORTSTMNT05_2952682,paiN Gaming,1
ESPORTSTMNT05_2952682,LOUD,0
ESPORTSTMNT05_2952686,Misfits Gaming,1
ESPORTSTMNT05_2952686,G2 Esports,0
ESPORTSTMNT05_2952699,Los Grandes,0
ESPORTSTMNT05_2952699,KaBuM! Esports,1
ESPORTSTMNT05_2952701,Team Vitality,1
ESPORTSTMNT05_2952701,Fnatic,0
ESPORTSTMNT05_2952730,Liberty,0
ESPORTSTMNT05_2952730,FURIA,1
ESPORTSTMNT05_2952770,INTZ,0
ESPORTSTMNT05_2952770,Miners,1
ESPORTSTMNT05_2942670,100 Thieves,0
ESPORTSTMNT05_2942670,FlyQuest,1
ESPORTSTMNT05_2942698,Dignitas,0
ESPORTSTMNT05_2942698,Evil Geniuses,1
ESPORTSTMNT05_2952804,TSM,0
ESPORTSTMNT05_2952804,Cloud9,1
ESPORTSTMNT05_2952826,Immortals,0
ESPORTSTMNT05_2952826,NRG Kia,1
ESPORTSTMNT05_2952840,Team Liquid,1
ESPORTSTMNT05_2952840,Golden Guardians,0
ESPORTSTMNT05_2942806,Dplus KIA,1
ESPORTSTMNT05_2942806,OKSavingsBank Brion,0
ESPORTSTMNT02_2883204,Deep Cross Gaming,0
ESPORTSTMNT02_2883204,Dewish Team,1
ESPORTSTMNT05_2942826,OKSavingsBank Brion,0
ESPORTSTMNT05_2942826,Dplus KIA,1
ESPORTSTMNT05_2942832,Gen.G,1
ESPORTSTMNT05_2942832,Nongshim RedForce,0
ESPORTSTMNT01_3010212,SBTC Esports,0
ESPORTSTMNT01_3010212,MGN Vikings Esports,1
ESPORTSTMNT02_2883242,PSG Talon,1
ESPORTSTMNT02_2883242,Frank Esports,0
ESPORTSTMNT01_3010214,MGN Vikings Esports,0
ESPORTSTMNT01_3010214,SBTC Esports,1
ESPORTSTMNT02_2883247,Impunity,0
ESPORTSTMNT02_2883247,HELL PIGS,1
ESPORTSTMNT01_3010216,SBTC Esports,1
ESPORTSTMNT01_3010216,MGN Vikings Esports,0
ESPORTSTMNT05_2942869,Nongshim RedForce,0
ESPORTSTMNT05_2942869,Gen.G,1
ESPORTSTMNT02_2883272,J Team,1
ESPORTSTMNT02_2883272,Beyond Gaming,0
ESPORTSTMNT01_3010225,AS Esports,0
ESPORTSTMNT01_3010225,CERBERUS Esports,1
ESPORTSTMNT02_2883320,West Point Esports,0
ESPORTSTMNT02_2883320,CTBC Flying Oyster,1
ESPORTSTMNT01_3010226,CERBERUS Esports,1
ESPORTSTMNT01_3010226,AS Esports,0
ESPORTSTMNT05_2942917,Rensga eSports,0
ESPORTSTMNT05_2942917,paiN Gaming,1
ESPORTSTMNT05_2942940,Miners,1
ESPORTSTMNT05_2942940,RED Canids,0
ESPORTSTMNT05_2942953,FURIA,1
ESPORTSTMNT05_2942953,INTZ,0
ESPORTSTMNT05_2942983,TSM,1
ESPORTSTMNT05_2942983,FlyQuest,0
ESPORTSTMNT05_2942985,KaBuM! Esports,0
ESPORTSTMNT05_2942985,LOUD,1
ESPORTSTMNT05_2943011,Los Grandes,0
ESPORTSTMNT05_2943011,Liberty,1
ESPORTSTMNT05_2943023,NRG Kia,0
ESPORTSTMNT05_2943023,100 Thieves,1
ESPORTSTMNT05_2943033,Evil Geniuses,1
ESPORTSTMNT05_2943033,Team Liquid,0
ESPORTSTMNT05_2943051,Immortals,1
ESPORTSTMNT05_2943051,Cloud9,0
ESPORTSTMNT05_2943077,Golden Guardians,1
ESPORTSTMNT05_2943077,Dignitas,0
ESPORTSTMNT05_2980201,OKSavingsBank Brion,1
ESPORTSTMNT05_2980201,DRX,0
ESPORTSTMNT05_2980212,DRX,1
ESPORTSTMNT05_2980212,OKSavingsBank Brion,0
ESPORTSTMNT05_2980213,OKSavingsBank Brion,0
ESPORTSTMNT05_2980213,DRX,1
ESPORTSTMNT05_2980216,Nongshim RedForce,0
ESPORTSTMNT05_2980216,Dplus KIA,1
ESPORTSTMNT05_2980240,Nongshim RedForce,0
ESPORTSTMNT05_2980240,Dplus KIA,1
ESPORTSTMNT05_2990357,T1,0
ESPORTSTMNT05_2990357,Kwangdong Freecs,1
ESPORTSTMNT05_2990375,T1,1
ESPORTSTMNT05_2990375,Kwangdong Freecs,0
ESPORTSTMNT05_2990380,T1,1
ESPORTSTMNT05_2990380,Kwangdong Freecs,0
ESPORTSTMNT02_2914395,SBTC Esports,1
ESPORTSTMNT02_2914395,Team Whales,0
ESPORTSTMNT05_2990388,Hanwha Life Esports,0
ESPORTSTMNT05_2990388,KT Rolster,1
ESPORTSTMNT02_2914408,Team Whales,1
ESPORTSTMNT02_2914408,SBTC Esports,0
ESPORTSTMNT02_2914421,SBTC Esports,0
ESPORTSTMNT02_2914421,Team Whales,1
ESPORTSTMNT05_2990418,Hanwha Life Esports,0
ESPORTSTMNT05_2990418,KT Rolster,1
ESPORTSTMNT02_2914434,AS Esports,0
ESPORTSTMNT02_2914434,Team Secret,1
ESPORTSTMNT02_2914441,Team Secret,1
ESPORTSTMNT02_2914441,AS Esports,0
ESPORTSTMNT05_2980509,BNK FEARX,0
ESPORTSTMNT05_2980509,Gen.G,1
ESPORTSTMNT05_2980526,BNK FEARX,0
ESPORTSTMNT05_2980526,Gen.G,1
ESPORTSTMNT02_2914607,West Point Esports,0
ESPORTSTMNT02_2914607,Frank Esports,1
ESPORTSTMNT05_2980527,DRX,1
ESPORTSTMNT05_2980527,Dplus KIA,0
ESPORTSTMNT02_2914614,Genius Esports,0
ESPORTSTMNT02_2914614,MGN Vikings Esports,1
ESPORTSTMNT02_2914619,PSG Talon,1
ESPORTSTMNT02_2914619,Dewish Team,0
ESPORTSTMNT02_2914628,MGN Vikings Esports,0
ESPORTSTMNT02_2914628,Genius Esports,1
ESPORTSTMNT02_2914630,Deep Cross Gaming,1
ESPORTSTMNT02_2914630,J Team,0
ESPORTSTMNT05_2980537,Dplus KIA,1
ESPORTSTMNT05_2980537,DRX,0
ESPORTSTMNT02_2914649,Genius Esports,1
ESPORTSTMNT02_2914649,MGN Vikings Esports,0
ESPORTSTMNT02_2914655,HELL PIGS,0
ESPORTSTMNT02_2914655,Beyond Gaming,1
ESPORTSTMNT05_2980538,DRX,1
ESPORTSTMNT05_2980538,Dplus KIA,0
ESPORTSTMNT02_2914680,CERBERUS Esports,0
ESPORTSTMNT02_2914680,GAM Esports,1
ESPORTSTMNT02_2914681,Impunity,0
ESPORTSTMNT02_2914681,CTBC Flying Oyster,1
ESPORTSTMNT02_2884711,GAM Esports,0
ESPORTSTMNT02_2884711,CERBERUS Esports,1
ESPORTSTMNT02_2914708,CERBERUS Esports,1
ESPORTSTMNT02_2914708,GAM Esports,0
ESPORTSTMNT06_2540233,SK Gaming,1
ESPORTSTMNT06_2540233,Team BDS,0
ESPORTSTMNT06_2530217,Misfits Gaming,0
ESPORTSTMNT06_2530217,GiantX,1
ESPORTSTMNT06_2530232,MAD Lions KOI,1
ESPORTSTMNT06_2530232,Team Vitality,0
ESPORTSTMNT06_2530241,G2 Esports,1
ESPORTSTMNT06_2530241,Astralis,0
ESPORTSTMNT06_2530249,Fnatic,0
ESPORTSTMNT06_2530249,Rogue,1
ESPORTSTMNT05_2980556,OKSavingsBank Brion,1
ESPORTSTMNT05_2980556,T1,0
ESPORTSTMNT05_2980569,T1,1
ESPORTSTMNT05_2980569,OKSavingsBank Brion,0
ESPORTSTMNT02_2884768,Frank Esports,0
ESPORTSTMNT02_2884768,Dewish Team,1
ESPORTSTMNT05_2980571,OKSavingsBank Brion,0
ESPORTSTMNT05_2980571,T1,1
ESPORTSTMNT02_2914807,Genius Esports,0
ESPORTSTMNT02_2914807,AS Esports,1
ESPORTSTMNT02_2884778,CTBC Flying Oyster,1
ESPORTSTMNT02_2884778,HELL PIGS,0
ESPORTSTMNT05_2980572,KT Rolster,1
ESPORTSTMNT05_2980572,Nongshim RedForce,0
ESPORTSTMNT02_2914823,AS Esports,0
ESPORTSTMNT02_2914823,Genius Esports,1
ESPORTSTMNT02_2884787,PSG Talon,0
ESPORTSTMNT02_2884787,Deep Cross Gaming,1
ESPORTSTMNT02_2914843,Genius Esports,0
ESPORTSTMNT02_2914843,AS Esports,1
ESPORTSTMNT02_2884797,J Team,1
ESPORTSTMNT02_2884797,West Point Esports,0
ESPORTSTMNT05_2980586,Nongshim RedForce,1
ESPORTSTMNT05_2980586,KT Rolster,0
ESPORTSTMNT02_2914874,CERBERUS Esports,0
ESPORTSTMNT02_2914874,SBTC Esports,1
ESPORTSTMNT02_2884810,Beyond Gaming,1
ESPORTSTMNT02_2884810,Impunity,0
ESPORTSTMNT05_2980587,KT Rolster,1
ESPORTSTMNT05_2980587,Nongshim RedForce,0
ESPORTSTMNT02_2884816,SBTC Esports,0
ESPORTSTMNT02_2884816,CERBERUS Esports,1
ESPORTSTMNT06_2540366,Astralis,1
ESPORTSTMNT06_2540366,Team BDS,0
ESPORTSTMNT02_2914884,CERBERUS Esports,0
ESPORTSTMNT02_2914884,SBTC Esports,1
ESPORTSTMNT06_2530395,MAD Lions KOI,1
ESPORTSTMNT06_2530395,SK Gaming,0
ESPORTSTMNT06_2540390,Team Vitality,1
ESPORTSTMNT06_2540390,Misfits Gaming,0
ESPORTSTMNT06_2540375,RED Canids,0
ESPORTSTMNT06_2540375,FURIA,1
ESPORTSTMNT06_2540393,paiN Gaming,0
ESPORTSTMNT06_2540393,KaBuM! Esports,1
ESPORTSTMNT06_2530440,Rogue,0
ESPORTSTMNT06_2530440,G2 Esports,1
ESPORTSTMNT06_2540411,Rensga eSports,0
ESPORTSTMNT06_2540411,Miners,1
ESPORTSTMNT06_2530452,GiantX,1
ESPORTSTMNT06_2530452,Fnatic,0
ESPORTSTMNT06_2540426,INTZ,1
ESPORTSTMNT06_2540426,Los Grandes,0
ESPORTSTMNT06_2540444,Liberty,0
ESPORTSTMNT06_2540444,LOUD,1
ESPORTSTMNT06_2530483,Evil Geniuses,1
ESPORTSTMNT06_2530483,NRG Kia,0
ESPORTSTMNT06_2540460,Immortals,0
ESPORTSTMNT06_2540460,Team Liquid,1
ESPORTSTMNT06_2540485,TSM,0
ESPORTSTMNT06_2540485,100 Thieves,1
ESPORTSTMNT06_2540501,Dignitas,0
ESPORTSTMNT06_2540501,Cloud9,1
ESPORTSTMNT06_2540513,FlyQuest,1
ESPORTSTMNT06_2540513,Golden Guardians,0
ESPORTSTMNT05_2990662,Kwangdong Freecs,0
ESPORTSTMNT05_2990662,BNK FEARX,1
ESPORTSTMNT02_2914930,Deep Cross Gaming,1
ESPORTSTMNT02_2914930,Impunity,0
ESPORTSTMNT05_2990683,BNK FEARX,1
ESPORTSTMNT05_2990683,Kwangdong Freecs,0
ESPORTSTMNT02_2914940,GAM Esports,1
ESPORTSTMNT02_2914940,Team Secret,0
ESPORTSTMNT02_2914943,HELL PIGS,1
ESPORTSTMNT02_2914943,Dewish Team,0
ESPORTSTMNT05_2990684,Hanwha Life Esports,0
ESPORTSTMNT05_2990684,Gen.G,1
ESPORTSTMNT02_2914946,CTBC Flying Oyster,1
ESPORTSTMNT02_2914946,Beyond Gaming,0
ESPORTSTMNT02_2914947,Team Secret,1
ESPORTSTMNT02_2914947,GAM Esports,0
ESPORTSTMNT05_2990701,Hanwha Life Esports,0
ESPORTSTMNT05_2990701,Gen.G,1
ESPORTSTMNT02_2914953,GAM Esports,1
ESPORTSTMNT02_2914953,Team Secret,0
ESPORTSTMNT02_2914954,PSG Talon,1
ESPORTSTMNT02_2914954,West Point Esports,0
ESPORTSTMNT02_2914962,Frank Esports,1
ESPORTSTMNT02_2914962,J Team,0
ESPORTSTMNT02_2914964,MGN Vikings Esports,1
ESPORTSTMNT02_2914964,Team Whales,0
ESPORTSTMNT02_2914970,Team Whales,1
ESPORTSTMNT02_2914970,MGN Vikings Esports,0
ESPORTSTMNT02_2914973,MGN Vikings Esports,1
ESPORTSTMNT02_2914973,Team Whales,0
ESPORTSTMNT06_2530590,Miners,0
ESPORTSTMNT06_2530590,paiN Gaming,1
ESPORTSTMNT06_2530612,FURIA,1
ESPORTSTMNT06_2530612,Rensga eSports,0
ESPORTSTMNT06_2530618,LOUD,1
ESPORTSTMNT06_2530618,INTZ,0
ESPORTSTMNT06_2530629,NRG Kia,1
ESPORTSTMNT06_2530629,Team Liquid,0
ESPORTSTMNT06_2530630,KaBuM! Esports,1
ESPORTSTMNT06_2530630,Liberty,0
ESPORTSTMNT06_2530656,Los Grandes,0
ESPORTSTMNT06_2530656,RED Canids,1
ESPORTSTMNT06_2530665,Golden Guardians,0
ESPORTSTMNT06_2530665,Cloud9,1
ESPORTSTMNT06_2530679,100 Thieves,1
ESPORTSTMNT06_2530679,Evil Geniuses,0
ESPORTSTMNT06_2530687,Immortals,1
ESPORTSTMNT06_2530687,TSM,0
ESPORTSTMNT06_2530698,Dignitas,0
ESPORTSTMNT06_2530698,FlyQuest,1
ESPORTSTMNT06_2540974,T1,1
ESPORTSTMNT06_2540974,KT Rolster,0
ESPORTSTMNT06_2531013,KT Rolster,1
ESPORTSTMNT06_2531013,T1,0
ESPORTSTMNT06_2531015,T1,1
ESPORTSTMNT06_2531015,KT Rolster,0
ESPORTSTMNT06_2531022,Dplus KIA,0
ESPORTSTMNT06_2531022,Hanwha Life Esports,1
ESPORTSTMNT06_2531032,Dplus KIA,1
ESPORTSTMNT06_2531032,Hanwha Life Esports,0
ESPORTSTMNT06_2531036,Hanwha Life Esports,0
ESPORTSTMNT06_2531036,Dplus KIA,1
ESPORTSTMNT06_2531135,BNK FEARX,0
ESPORTSTMNT06_2531135,Nongshim RedForce,1
ESPORTSTMNT06_2531145,BNK FEARX,1
ESPORTSTMNT06_2531145,Nongshim RedForce,0
ESPORTSTMNT06_2531146,Nongshim RedForce,1
ESPORTSTMNT06_2531146,BNK FEARX,0
ESPORTSTMNT03_2893696,GAM Esports,0
ESPORTSTMNT03_2893696,Team Whales,1
ESPORTSTMNT06_2531151,Gen.G,1
ESPORTSTMNT06_2531151,DRX,0
ESPORTSTMNT03_2883666,Team Whales,0
ESPORTSTMNT03_2883666,GAM Esports,1
ESPORTSTMNT03_2883676,GAM Esports,1
ESPORTSTMNT03_2883676,Team Whales,0
ESPORTSTMNT06_2531168,DRX,0
ESPORTSTMNT06_2531168,Gen.G,1
ESPORTSTMNT03_2883707,MGN Vikings Esports,1
ESPORTSTMNT03_2883707,AS Esports,0
ESPORTSTMNT03_2883739,AS Esports,0
ESPORTSTMNT03_2883739,MGN Vikings Esports,1
ESPORTSTMNT06_2531311,OKSavingsBank Brion,1
ESPORTSTMNT06_2531311,Kwangdong Freecs,0
ESPORTSTMNT06_2531319,OKSavingsBank Brion,0
ESPORTSTMNT06_2531319,Kwangdong Freecs,1
ESPORTSTMNT03_2884181,Frank Esports,0
ESPORTSTMNT03_2884181,CTBC Flying Oyster,1
ESPORTSTMNT03_2894207,CERBERUS Esports,0
ESPORTSTMNT03_2894207,Genius Esports,1
ESPORTSTMNT06_2531322,OKSavingsBank Brion,0
ESPORTSTMNT06_2531322,Kwangdong Freecs,1
ESPORTSTMNT03_2884198,Impunity,1
ESPORTSTMNT03_2884198,Dewish Team,0
ESPORTSTMNT06_2531323,Dplus KIA,0
ESPORTSTMNT06_2531323,KT Rolster,1
ESPORTSTMNT03_2894232,Genius Esports,0
ESPORTSTMNT03_2894232,CERBERUS Esports,1
ESPORTSTMNT03_2884218,West Point Esports,0
ESPORTSTMNT03_2884218,Deep Cross Gaming,1
ESPORTSTMNT03_2884238,Beyond Gaming,0
ESPORTSTMNT03_2884238,PSG Talon,1
ESPORTSTMNT03_2894275,CERBERUS Esports,1
ESPORTSTMNT03_2894275,Genius Esports,0
ESPORTSTMNT06_2531329,Dplus KIA,0
ESPORTSTMNT06_2531329,KT Rolster,1
ESPORTSTMNT03_2894287,Team Secret,0
ESPORTSTMNT03_2894287,SBTC Esports,1
ESPORTSTMNT03_2894299,SBTC Esports,0
ESPORTSTMNT03_2894299,Team Secret,1
ESPORTSTMNT03_2894335,Team Secret,1
ESPORTSTMNT03_2894335,SBTC Esports,0
ESPORTSTMNT06_2531353,SK Gaming,1
ESPORTSTMNT06_2531353,Astralis,0
ESPORTSTMNT06_2531359,Rogue,0
ESPORTSTMNT06_2531359,Misfits Gaming,1
ESPORTSTMNT06_2531384,Team Vitality,1
ESPORTSTMNT06_2531384,GiantX,0
ESPORTSTMNT06_2531396,Team BDS,0
ESPORTSTMNT06_2531396,G2 Esports,1
ESPORTSTMNT06_2531409,Fnatic,0
ESPORTSTMNT06_2531409,MAD Lions KOI,1
ESPORTSTMNT06_2531436,DRX,0
ESPORTSTMNT06_2531436,BNK FEARX,1
ESPORTSTMNT06_2531445,DRX,1
ESPORTSTMNT06_2531445,BNK FEARX,0
ESPORTSTMNT03_2894716,CTBC Flying Oyster,1
ESPORTSTMNT03_2894716,Dewish Team,0
ESPORTSTMNT03_2884697,AS Esports,1
ESPORTSTMNT03_2884697,Team Whales,0
ESPORTSTMNT06_2531452,BNK FEARX,1
ESPORTSTMNT06_2531452,DRX,0
ESPORTSTMNT03_2894732,Frank Esports,1
ESPORTSTMNT03_2894732,Beyond Gaming,0
ESPORTSTMNT06_2531456,T1,0
ESPORTSTMNT06_2531456,Gen.G,1
ESPORTSTMNT03_2884706,Team Whales,1
ESPORTSTMNT03_2884706,AS Esports,0
ESPORTSTMNT03_2894757,West Point Esports,0
ESPORTSTMNT03_2894757,Impunity,1
ESPORTSTMNT03_2884725,AS Esports,1
ESPORTSTMNT03_2884725,Team Whales,0
ESPORTSTMNT03_2894780,Deep Cross Gaming,1
ESPORTSTMNT03_2894780,HELL PIGS,0
ESPORTSTMNT06_2531479,T1,0
ESPORTSTMNT06_2531479,Gen.G,1
ESPORTSTMNT03_2884766,SBTC Esports,1
ESPORTSTMNT03_2884766,GAM Esports,0
ESPORTSTMNT03_2894831,GAM Esports,1
ESPORTSTMNT03_2894831,SBTC Esports,0
ESPORTSTMNT06_2541470,Misfits Gaming,1
ESPORTSTMNT06_2541470,SK Gaming,0
ESPORTSTMNT03_2894856,SBTC Esports,0
ESPORTSTMNT03_2894856,GAM Esports,1
ESPORTSTMNT06_2541495,Astralis,1
ESPORTSTMNT06_2541495,Rogue,0
ESPORTSTMNT06_2531505,INTZ,0
ESPORTSTMNT06_2531505,KaBuM! Esports,1
ESPORTSTMNT06_2541504,MAD Lions KOI,1
ESPORTSTMNT06_2541504,GiantX,0
ESPORTSTMNT06_2531522,Rensga eSports,0
ESPORTSTMNT06_2531522,Los Grandes,1
ESPORTSTMNT06_2541519,Fnatic,1
ESPORTSTMNT06_2541519,Team BDS,0
ESPORTSTMNT06_2531539,paiN Gaming,0
ESPORTSTMNT06_2531539,Liberty,1
ESPORTSTMNT06_2541533,G2 Esports,0
ESPORTSTMNT06_2541533,Team Vitality,1
ESPORTSTMNT06_2531557,RED Canids,0
ESPORTSTMNT06_2531557,LOUD,1
