player,champion,games_played,winrate,avg_kills,avg_deaths,avg_assists,avg_dpm,avg_dmg_share,avg_vspm,avg_gold_share,total_games,pickrate,avg_kda
Delight,Rakan,59,0.6440677966101694,0.7288135593220338,1.88135593220339,9.288135593220339,129.49355254237287,0.06689185254237288,3.5668338983050845,0.09762621186440677,261,0.2260536398467433,5.324324324324325
Faker,Azir,57,0.6491228070175439,2.6842105263157894,2.3684210526315788,4.842105263157895,654.819894736842,0.29304770175438594,1.2340491228070176,0.23371331578947369,318,0.1792452830188679,3.177777777777778
Oner,Lee Sin,55,0.7636363636363637,3.9272727272727272,2.581818181818182,7.236363636363636,343.7451763636364,0.15161349636363636,1.4628163636363636,0.1901352,334,0.16467065868263472,4.323943661971831
Zeka,Azir,53,0.5660377358490566,3.2264150943396226,2.0,4.09433962264151,624.685437735849,0.297099,1.3545396226415094,0.2599800754716981,286,0.1853146853146853,3.660377358490566
Bdd,Azir,50,0.6,3.0,1.88,4.98,575.9999,0.28989074,1.295522,0.23822279999999998,255,0.19607843137254902,4.24468085106383
Levi,Wukong,49,0.8571428571428571,3.877551020408163,2.142857142857143,8.306122448979592,372.4300428571429,0.15821552448979592,1.5904775510204083,0.19190865306122448,240,0.20416666666666666,5.685714285714285
Cuzz,Viego,49,0.7142857142857143,3.2448979591836733,1.7959183673469388,6.081632653061225,321.9352081632653,0.15336390408163264,1.862630612244898,0.1852257142857143,267,0.18352059925093633,5.193181818181818
Aiming,Zeri,49,0.7142857142857143,5.285714285714286,1.183673469387755,4.020408163265306,601.3834346938776,0.3016924897959184,1.7257693877551021,0.30157275510204085,269,0.1821561338289963,7.862068965517241
Clozer,Azir,48,0.4583333333333333,2.4375,2.7708333333333335,3.875,610.5977708333334,0.29770087500000003,1.1331375,0.25014074999999997,229,0.2096069868995633,2.2781954887218046
Zeus,Gnar,48,0.7708333333333334,2.6458333333333335,2.0625,5.229166666666667,576.8277729166667,0.26410462500000004,1.1397791666666668,0.23619172916666667,336,0.14285714285714285,3.8181818181818183
Kingen,Gnar,47,0.5531914893617021,1.6595744680851063,2.3191489361702127,3.5531914893617023,512.1153319148937,0.24530210638297872,1.0886170212765958,0.23094051063829785,287,0.16376306620209058,2.247706422018349
Karis,Azir,46,0.30434782608695654,2.152173913043478,2.5652173913043477,3.9347826086956523,544.1459347826087,0.282382,1.0807282608695652,0.24324228260869565,208,0.22115384615384615,2.3728813559322037
Chovy,Azir,45,0.7333333333333333,3.6222222222222222,1.5777777777777777,5.022222222222222,689.9238511111112,0.30402015555555556,1.6001844444444446,0.25963444444444445,278,0.1618705035971223,5.47887323943662
Kaiwing,Leona,44,0.6818181818181818,0.7727272727272727,1.9545454545454546,9.022727272727273,125.15526136363637,0.06047106590909091,3.0607681818181818,0.09526292500000001,200,0.22,5.011627906976745
Bie,Nautilus,43,0.6976744186046512,0.8372093023255814,2.186046511627907,8.883720930232558,147.5722441860465,0.06913717906976745,2.8814372093023253,0.0933301465116279,211,0.2037914691943128,4.446808510638298
Cuzz,Sejuani,43,0.5581395348837209,1.3953488372093024,1.7674418604651163,8.069767441860465,282.4526697674419,0.13922396511627907,1.8498906976744185,0.16409446511627906,267,0.16104868913857678,5.355263157894737
Gumayusi,Aphelios,42,0.5952380952380952,4.523809523809524,1.9047619047619047,3.4523809523809526,578.0965238095238,0.2877315952380952,1.3201166666666666,0.289646,336,0.125,4.1875
Hena,Aphelios,42,0.21428571428571427,2.5238095238095237,2.0476190476190474,2.4523809523809526,496.3464452380952,0.28562442857142856,1.2522119047619047,0.2740742857142857,216,0.19444444444444445,2.430232558139535
Shogun,Aphelios,41,0.6097560975609756,6.414634146341464,2.2439024390243905,5.487804878048781,709.3661390243902,0.3154749024390244,1.3980560975609757,0.2887022682926829,237,0.1729957805907173,5.304347826086956
Pyosik,Lee Sin,39,0.6153846153846154,2.871794871794872,2.4358974358974357,7.0256410256410255,294.88490256410256,0.13590623589743592,1.4911025641025641,0.1804956923076923,225,0.17333333333333334,4.063157894736842
Kiaya,Jax,39,0.6666666666666666,3.871794871794872,2.2564102564102564,4.410256410256411,540.2223923076923,0.22741402564102564,1.0063102564102564,0.23475782051282051,242,0.16115702479338842,3.670454545454546
Deft,Aphelios,39,0.46153846153846156,3.230769230769231,2.3076923076923075,4.0,523.6050153846154,0.28900158974358975,1.2741871794871795,0.27165151282051286,274,0.14233576642335766,3.1333333333333337
Sty1e,Zeri,39,0.6666666666666666,5.743589743589744,2.717948717948718,7.3076923076923075,673.3096487179488,0.2859583846153846,1.7563205128205128,0.2794197948717949,188,0.2074468085106383,4.80188679245283
Slayder,Xayah,39,0.5897435897435898,5.282051282051282,1.9487179487179487,4.461538461538462,580.003582051282,0.26170461538461537,1.0670051282051283,0.27528558974358974,176,0.2215909090909091,5.000000000000001
Sparda,K'Sante,39,0.5897435897435898,2.769230769230769,2.3846153846153846,5.487179487179487,391.315058974359,0.1924897923076923,1.0731923076923078,0.2064085128205128,180,0.21666666666666667,3.462365591397849
Peanut,Wukong,38,0.6842105263157895,3.3157894736842106,2.0526315789473686,6.0,303.9747605263158,0.13795737631578947,1.6528736842105263,0.1823238947368421,281,0.13523131672597866,4.538461538461538
Kingen,Aatrox,38,0.631578947368421,2.6578947368421053,2.1578947368421053,4.842105263157895,555.4696236842105,0.24870315789473685,1.128228947368421,0.22168028947368418,287,0.13240418118466898,3.475609756097561
