patch,level_1,ban_count,ban_rate,pick_count,pick_rate,ban_pick_count,ban_pick_rate,wins,games,win_rate
12.11,Jarvan IV,3.0,2.08,1.0,0.69,4.0,2.78,0.0,1.0,0.0
12.11,Jax,2.0,1.39,9.0,6.25,11.0,7.64,4.0,9.0,0.4444444444444444
12.11,Jayce,9.0,6.25,6.0,4.17,15.0,10.42,5.0,6.0,0.8333333333333334
12.11,Jhin,1.0,0.69,2.0,1.39,3.0,2.08,0.0,2.0,0.0
12.11,Jinx,3.0,2.08,23.0,15.97,26.0,18.06,9.0,23.0,0.391304347826087
12.11,Kai'Sa,5.0,3.47,13.0,9.03,18.0,12.5,8.0,13.0,0.6153846153846154
12.11,Kalista,60.0,41.67,34.0,23.61,94.0,65.28,15.0,34.0,0.4411764705882353
12.11,Karma,12.0,8.33,11.0,7.64,23.0,15.97,5.0,11.0,0.45454545454545453
12.11,Kassadin,1.0,0.69,1.0,0.69,2.0,1.39,0.0,1.0,0.0
12.11,Kayle,29.0,20.14,20.0,13.89,49.0,34.03,8.0,20.0,0.4
12.11,Kennen,2.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.11,Kindred,3.0,2.08,1.0,0.69,4.0,2.78,1.0,1.0,1.0
12.11,LeBlanc,18.0,12.5,10.0,6.94,28.0,19.44,6.0,10.0,0.6
12.11,Lee Sin,18.0,12.5,31.0,21.53,49.0,34.03,17.0,31.0,0.5483870967741935
12.11,Leona,1.0,0.69,7.0,4.86,8.0,5.56,2.0,7.0,0.2857142857142857
12.11,Lillia,3.0,2.08,4.0,2.78,7.0,4.86,1.0,4.0,0.25
12.11,Lissandra,23.0,15.97,21.0,14.58,44.0,30.56,14.0,21.0,0.6666666666666666
12.11,Lucian,110.0,76.39,21.0,14.58,131.0,90.97,14.0,21.0,0.6666666666666666
12.11,Lulu,4.0,2.78,9.0,6.25,13.0,9.03,6.0,9.0,0.6666666666666666
12.11,Mordekaiser,2.0,1.39,5.0,3.47,7.0,4.86,2.0,5.0,0.4
12.11,Nautilus,21.0,14.58,38.0,26.39,59.0,40.97,14.0,38.0,0.3684210526315789
12.11,Nocturne,1.0,0.69,2.0,1.39,3.0,2.08,0.0,2.0,0.0
12.11,Olaf,6.0,4.17,3.0,2.08,9.0,6.25,1.0,3.0,0.3333333333333333
12.11,Orianna,3.0,2.08,9.0,6.25,12.0,8.33,4.0,9.0,0.4444444444444444
12.11,Ornn,34.0,23.61,27.0,18.75,61.0,42.36,14.0,27.0,0.5185185185185185
12.11,Poppy,6.0,4.17,8.0,5.56,14.0,9.72,5.0,8.0,0.625
12.11,Pyke,2.0,1.39,3.0,2.08,5.0,3.47,2.0,3.0,0.6666666666666666
12.11,Rakan,15.0,10.42,34.0,23.61,49.0,34.03,17.0,34.0,0.5
12.11,Rell,1.0,0.69,4.0,2.78,5.0,3.47,3.0,4.0,0.75
12.11,Renata Glasc,36.0,25.0,34.0,23.61,70.0,48.61,17.0,34.0,0.5
12.11,Renekton,1.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.11,Rumble,3.0,2.08,2.0,1.39,5.0,3.47,0.0,2.0,0.0
12.11,Sejuani,17.0,11.81,25.0,17.36,42.0,29.17,13.0,25.0,0.52
12.11,Senna,63.0,43.75,44.0,30.56,107.0,74.31,24.0,44.0,0.5454545454545454
12.11,Seraphine,7.0,4.86,14.0,9.72,21.0,14.58,9.0,14.0,0.6428571428571429
12.11,Sett,1.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.11,Singed,2.0,1.39,2.0,1.39,4.0,2.78,2.0,2.0,1.0
12.11,Swain,25.0,17.36,20.0,13.89,45.0,31.25,12.0,20.0,0.6
12.11,Sylas,31.0,21.53,22.0,15.28,53.0,36.81,13.0,22.0,0.5909090909090909
12.11,Syndra,4.0,2.78,1.0,0.69,5.0,3.47,0.0,1.0,0.0
12.11,Tahm Kench,17.0,11.81,50.0,34.72,67.0,46.53,25.0,50.0,0.5
12.11,Taliyah,20.0,13.89,12.0,8.33,32.0,22.22,7.0,12.0,0.5833333333333334
12.11,Taric,2.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.11,Tristana,1.0,0.69,2.0,1.39,3.0,2.08,1.0,2.0,0.5
12.11,Trundle,15.0,10.42,22.0,15.28,37.0,25.69,9.0,22.0,0.4090909090909091
12.11,Twisted Fate,32.0,22.22,9.0,6.25,41.0,28.47,6.0,9.0,0.6666666666666666
12.11,Twitch,9.0,6.25,10.0,6.94,19.0,13.19,4.0,10.0,0.4
12.11,Udyr,2.0,1.39,2.0,1.39,4.0,2.78,1.0,2.0,0.5
12.11,Varus,1.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.11,Veigar,1.0,0.69,2.0,1.39,3.0,2.08,2.0,2.0,1.0
12.11,Vex,3.0,2.08,3.0,2.08,6.0,4.17,1.0,3.0,0.3333333333333333
12.11,Vi,5.0,3.47,5.0,3.47,10.0,6.94,1.0,5.0,0.2
12.11,Viego,34.0,23.61,79.0,54.86,113.0,78.47,45.0,79.0,0.569620253164557
12.11,Viktor,17.0,11.81,14.0,9.72,31.0,21.53,4.0,14.0,0.2857142857142857
12.11,Vladimir,1.0,0.69,2.0,1.39,3.0,2.08,1.0,2.0,0.5
12.11,Volibear,19.0,13.19,27.0,18.75,46.0,31.94,10.0,27.0,0.37037037037037035
12.11,Wukong,71.0,49.31,69.0,47.92,140.0,97.22,38.0,69.0,0.5507246376811594
12.11,Xayah,3.0,2.08,14.0,9.72,17.0,11.81,5.0,14.0,0.35714285714285715
12.11,Xin Zhao,2.0,1.39,19.0,13.19,21.0,14.58,7.0,19.0,0.3684210526315789
12.11,Yasuo,3.0,2.08,5.0,3.47,8.0,5.56,3.0,5.0,0.6
