patch,league,side,result,total_games,win_rate
13.12,LLA,Blue,9,17.0,0.5294117647058824
13.12,LLA,Red,8,17.0,0.47058823529411764
13.12,LRN,Blue,19,30.0,0.6333333333333333
13.12,LRN,Red,11,30.0,0.36666666666666664
13.12,LRS,Blue,13,20.0,0.65
13.12,LRS,Red,7,20.0,0.35
13.12,NEXO,Blue,6,10.0,0.6
13.12,NEXO,Red,4,10.0,0.4
13.12,PCS,Blue,32,60.0,0.5333333333333333
13.12,PCS,Red,28,60.0,0.4666666666666667
13.12,VCS,Blue,15,28.0,0.5357142857142857
13.12,VCS,Red,13,28.0,0.4642857142857143
13.13,AL,Blue,17,39.0,0.4358974358974359
13.13,AL,Red,22,39.0,0.5641025641025641
13.13,CBLOL,Blue,15,30.0,0.5
13.13,CBLOL,Red,15,30.0,0.5
13.13,CBLOLA,Blue,14,30.0,0.4666666666666667
13.13,CBLOLA,Red,16,30.0,0.5333333333333333
13.13,EBL,Blue,11,20.0,0.55
13.13,EBL,Red,9,20.0,0.45
13.13,ESLOL,Blue,13,24.0,0.5416666666666666
13.13,ESLOL,Red,11,24.0,0.4583333333333333
13.13,GLL,Blue,17,32.0,0.53125
13.13,GLL,Red,15,32.0,0.46875
13.13,HC,Blue,16,32.0,0.5
13.13,HC,Red,16,32.0,0.5
13.13,HM,Blue,14,24.0,0.5833333333333334
13.13,HM,Red,10,24.0,0.4166666666666667
13.13,LCK,Blue,8,22.0,0.36363636363636365
13.13,LCK,Red,14,22.0,0.6363636363636364
13.13,LCO,Blue,11,20.0,0.55
13.13,LCO,Red,9,20.0,0.45
13.13,LCS,Blue,30,47.0,0.6382978723404256
13.13,LCS,Red,17,47.0,0.3617021276595745
13.13,LEC,Blue,26,38.0,0.6842105263157895
13.13,LEC,Red,12,38.0,0.3157894736842105
13.13,LFL,Blue,17,30.0,0.5666666666666667
13.13,LFL,Red,13,30.0,0.43333333333333335
13.13,LFL2,Blue,13,31.0,0.41935483870967744
13.13,LFL2,Red,18,31.0,0.5806451612903226
13.13,LJL,Blue,15,29.0,0.5172413793103449
13.13,LJL,Red,14,29.0,0.4827586206896552
13.13,LJLA,Blue,9,19.0,0.47368421052631576
13.13,LJLA,Red,10,19.0,0.5263157894736842
13.13,LLA,Blue,9,17.0,0.5294117647058824
13.13,LLA,Red,8,17.0,0.47058823529411764
13.13,LPLOL,Blue,17,29.0,0.5862068965517241
13.13,LPLOL,Red,12,29.0,0.41379310344827586
13.13,LRN,Blue,15,28.0,0.5357142857142857
13.13,LRN,Red,13,28.0,0.4642857142857143
13.13,LRS,Blue,12,30.0,0.4
13.13,LRS,Red,18,30.0,0.6
13.13,LVP SL,Blue,23,36.0,0.6388888888888888
13.13,LVP SL,Red,13,36.0,0.3611111111111111
13.13,NACL,Blue,29,63.0,0.4603174603174603
13.13,NACL,Red,34,63.0,0.5396825396825397
13.13,NLC,Blue,13,24.0,0.5416666666666666
13.13,NLC,Red,11,24.0,0.4583333333333333
13.13,PCS,Blue,20,31.0,0.6451612903225806
13.13,PCS,Red,11,31.0,0.3548387096774194
13.13,PGN,Blue,14,24.0,0.5833333333333334
13.13,PGN,Red,10,24.0,0.4166666666666667
13.13,PRM,Blue,17,34.0,0.5
13.13,PRM,Red,17,34.0,0.5
13.13,TCL,Blue,15,28.0,0.5357142857142857
13.13,TCL,Red,13,28.0,0.4642857142857143
13.13,UL,Blue,21,35.0,0.6
13.13,UL,Red,14,35.0,0.4
13.13,VCS,Blue,20,41.0,0.4878048780487805
13.13,VCS,Red,21,41.0,0.5121951219512195
13.14,AL,Blue,10,17.0,0.5882352941176471
13.14,AL,Red,7,17.0,0.4117647058823529
13.14,CBLOL,Blue,13,20.0,0.65
13.14,CBLOL,Red,7,20.0,0.35
13.14,CBLOLA,Blue,12,20.0,0.6
13.14,CBLOLA,Red,8,20.0,0.4
13.14,EBL,Blue,17,29.0,0.5862068965517241
13.14,EBL,Red,12,29.0,0.41379310344827586
13.14,EM,Blue,37,60.0,0.6166666666666667
13.14,EM,Red,23,60.0,0.38333333333333336
13.14,ESLOL,Blue,11,15.0,0.7333333333333333
13.14,ESLOL,Red,4,15.0,0.26666666666666666
13.14,GLL,Blue,13,24.0,0.5416666666666666
13.14,GLL,Red,11,24.0,0.4583333333333333
13.14,HM,Blue,18,33.0,0.5454545454545454
13.14,HM,Red,15,33.0,0.45454545454545453
13.14,LCK,Blue,29,53.0,0.5471698113207547
13.14,LCK,Red,23,53.0,0.4339622641509434
13.14,LCKC,Blue,17,31.0,0.5483870967741935
13.14,LCKC,Red,14,31.0,0.45161290322580644
13.14,LCS,Blue,22,49.0,0.4489795918367347
13.14,LCS,Red,27,49.0,0.5510204081632653
13.14,LFL,Blue,15,33.0,0.45454545454545453
13.14,LFL,Red,18,33.0,0.5454545454545454
13.14,LFL2,Blue,14,26.0,0.5384615384615384
13.14,LFL2,Red,12,26.0,0.46153846153846156
13.14,LJL,Blue,16,24.0,0.6666666666666666
13.14,LJL,Red,8,24.0,0.3333333333333333
13.14,LJLA,Blue,4,9.0,0.4444444444444444
13.14,LJLA,Red,5,9.0,0.5555555555555556
13.14,LLA,Blue,21,34.0,0.6176470588235294
13.14,LLA,Red,13,34.0,0.38235294117647056
13.14,LPLOL,Blue,5,7.0,0.7142857142857143
13.14,LPLOL,Red,2,7.0,0.2857142857142857
13.14,LRN,Blue,4,8.0,0.5
13.14,LRN,Red,4,8.0,0.5
13.14,LRS,Blue,4,14.0,0.2857142857142857
13.14,LRS,Red,10,14.0,0.7142857142857143
13.14,LVP SL,Blue,9,24.0,0.375
13.14,LVP SL,Red,15,24.0,0.625
13.14,NACL,Blue,17,39.0,0.4358974358974359
13.14,NACL,Red,22,39.0,0.5641025641025641
13.14,NLC,Blue,5,16.0,0.3125
13.14,NLC,Red,11,16.0,0.6875
13.14,PCS,Blue,19,42.0,0.4523809523809524
13.14,PCS,Red,23,42.0,0.5476190476190477
13.14,PGN,Blue,15,33.0,0.45454545454545453
13.14,PGN,Red,18,33.0,0.5454545454545454
13.14,PRM,Blue,14,20.0,0.7
13.14,PRM,Red,6,20.0,0.3
13.14,TCL,Blue,14,25.0,0.56
13.14,TCL,Red,11,25.0,0.44
13.14,UL,Blue,12,23.0,0.5217391304347826
13.14,UL,Red,11,23.0,0.4782608695652174
13.14,VCS,Blue,22,33.0,0.6666666666666666
13.14,VCS,Red,11,33.0,0.3333333333333333
13.14,WLDs,Blue,6,11.0,0.5454545454545454
13.14,WLDs,Red,5,11.0,0.45454545454545453
13.15,CBLOL,Blue,15,32.0,0.46875
13.15,CBLOL,Red,17,32.0,0.53125
13.15,CBLOLA,Blue,16,34.0,0.47058823529411764
13.15,CBLOLA,Red,18,34.0,0.5294117647058824
13.15,EM,Blue,37,72.0,0.5138888888888888
13.15,EM,Red,35,72.0,0.4861111111111111
13.15,LEC,Blue,18,32.0,0.5625
13.15,LEC,Red,14,32.0,0.4375
13.15,LRS,Blue,8,16.0,0.5
13.15,LRS,Red,8,16.0,0.5
13.15,PCS,Blue,5,5.0,1.0
13.15,PCS,Red,0,5.0,0.0
13.15,VCS,Blue,24,43.0,0.5581395348837209
13.15,VCS,Red,19,43.0,0.4418604651162791
13.16,AL,Blue,4,9.0,0.4444444444444444
13.16,AL,Red,5,9.0,0.5555555555555556
13.16,NACL,Blue,15,25.0,0.6
13.16,NACL,Red,10,25.0,0.4
13.17,ESLOL,Blue,10,24.0,0.4166666666666667
13.17,ESLOL,Red,14,24.0,0.5833333333333334
13.17,LFL,Blue,8,18.0,0.4444444444444444
13.17,LFL,Red,10,18.0,0.5555555555555556
13.17,LFL2,Blue,9,18.0,0.5
13.17,LFL2,Red,9,18.0,0.5
13.17,LPLOL,Blue,10,18.0,0.5555555555555556
13.17,LPLOL,Red,8,18.0,0.4444444444444444
13.17,LVP SL,Blue,15,22.0,0.6818181818181818
13.17,LVP SL,Red,7,22.0,0.3181818181818182
13.17,NLC,Blue,10,12.0,0.8333333333333334
13.17,NLC,Red,2,12.0,0.16666666666666666
13.17,PRM,Blue,9,18.0,0.5
13.17,PRM,Red,9,18.0,0.5
13.17,TCL,Blue,14,20.0,0.7
13.17,TCL,Red,6,20.0,0.3
13.17,UL,Blue,11,20.0,0.55
13.17,UL,Red,9,20.0,0.45
13.18,CDF,Blue,35,68.0,0.5147058823529411
13.18,CDF,Red,33,68.0,0.4852941176470588
