patch,league,side,result,total_games,win_rate
14.03,NACL,Red,13,33.0,0.3939393939393939
14.03,NLC,Blue,6,16.0,0.375
14.03,NLC,Red,10,16.0,0.625
14.03,PCS,Blue,11,27.0,0.4074074074074074
14.03,PCS,Red,16,27.0,0.5925925925925926
14.03,PRM,Blue,10,25.0,0.4
14.03,PRM,Red,15,25.0,0.6
14.03,TCL,Blue,11,16.0,0.6875
14.03,TCL,Red,5,16.0,0.3125
14.03,UL,Blue,7,16.0,0.4375
14.03,UL,Red,9,16.0,0.5625
14.03,VCS,Blue,30,55.0,0.5454545454545454
14.03,VCS,Red,25,55.0,0.45454545454545453
14.04,AL,Blue,15,28.0,0.5357142857142857
14.04,AL,Red,13,28.0,0.4642857142857143
14.04,CBLOL,Blue,10,20.0,0.5
14.04,CBLOL,Red,10,20.0,0.5
14.04,CBLOLA,Blue,8,12.0,0.6666666666666666
14.04,CBLOLA,Red,4,12.0,0.3333333333333333
14.04,EBL,Blue,10,23.0,0.43478260869565216
14.04,EBL,Red,13,23.0,0.5652173913043478
14.04,ESLOL,Blue,8,19.0,0.42105263157894735
14.04,ESLOL,Red,11,19.0,0.5789473684210527
14.04,GLL,Blue,14,24.0,0.5833333333333334
14.04,GLL,Red,10,24.0,0.4166666666666667
14.04,HC,Blue,10,23.0,0.43478260869565216
14.04,HC,Red,13,23.0,0.5652173913043478
14.04,HM,Blue,9,16.0,0.5625
14.04,HM,Red,7,16.0,0.4375
14.04,LCK,Blue,26,49.0,0.5306122448979592
14.04,LCK,Red,23,49.0,0.46938775510204084
14.04,LCKC,Blue,19,49.0,0.3877551020408163
14.04,LCKC,Red,30,49.0,0.6122448979591837
14.04,LCS,Blue,6,8.0,0.75
14.04,LCS,Red,2,8.0,0.25
14.04,LFL,Blue,10,20.0,0.5
14.04,LFL,Red,10,20.0,0.5
14.04,LFL2,Blue,8,15.0,0.5333333333333333
14.04,LFL2,Red,7,15.0,0.4666666666666667
14.04,LIT,Blue,6,17.0,0.35294117647058826
14.04,LIT,Red,11,17.0,0.6470588235294118
14.04,LLA,Blue,14,21.0,0.6666666666666666
14.04,LLA,Red,7,21.0,0.3333333333333333
14.04,LPLOL,Blue,7,19.0,0.3684210526315789
14.04,LPLOL,Red,12,19.0,0.631578947368421
14.04,LVP SL,Blue,9,21.0,0.42857142857142855
14.04,LVP SL,Red,12,21.0,0.5714285714285714
14.04,NACL,Blue,19,30.0,0.6333333333333333
14.04,NACL,Red,11,30.0,0.36666666666666664
14.04,NEXO,Blue,8,17.0,0.47058823529411764
14.04,NEXO,Red,9,17.0,0.5294117647058824
14.04,NLC,Blue,14,23.0,0.6086956521739131
14.04,NLC,Red,9,23.0,0.391304347826087
14.04,PRM,Blue,6,15.0,0.4
14.04,PRM,Red,9,15.0,0.6
14.04,TCL,Blue,6,8.0,0.75
14.04,TCL,Red,2,8.0,0.25
14.04,UL,Blue,8,16.0,0.5
14.04,UL,Red,8,16.0,0.5
14.05,AL,Blue,11,16.0,0.6875
14.05,AL,Red,5,16.0,0.3125
14.05,CBLOL,Blue,12,25.0,0.48
14.05,CBLOL,Red,13,25.0,0.52
14.05,CBLOLA,Blue,16,33.0,0.48484848484848486
14.05,CBLOLA,Red,17,33.0,0.5151515151515151
14.05,EBL,Blue,4,5.0,0.8
14.05,EBL,Red,1,5.0,0.2
14.05,ESLOL,Blue,1,3.0,0.3333333333333333
14.05,ESLOL,Red,2,3.0,0.6666666666666666
14.05,GLL,Blue,2,3.0,0.6666666666666666
14.05,GLL,Red,1,3.0,0.3333333333333333
14.05,HM,Blue,4,7.0,0.5714285714285714
14.05,HM,Red,3,7.0,0.42857142857142855
14.05,LCK,Blue,7,22.0,0.3181818181818182
14.05,LCK,Red,15,22.0,0.6818181818181818
14.05,LCKC,Blue,17,30.0,0.5666666666666667
14.05,LCKC,Red,13,30.0,0.43333333333333335
14.05,LCS,Blue,23,43.0,0.5348837209302325
14.05,LCS,Red,20,43.0,0.46511627906976744
14.05,LEC,Blue,22,46.0,0.4782608695652174
14.05,LEC,Red,24,46.0,0.5217391304347826
14.05,LFL,Blue,11,21.0,0.5238095238095238
14.05,LFL,Red,10,21.0,0.47619047619047616
14.05,LFL2,Blue,13,22.0,0.5909090909090909
14.05,LFL2,Red,9,22.0,0.4090909090909091
14.05,LIT,Blue,4,8.0,0.5
14.05,LIT,Red,4,8.0,0.5
14.05,LLA,Blue,10,25.0,0.4
14.05,LLA,Red,15,25.0,0.6
14.05,LPLOL,Blue,2,3.0,0.6666666666666666
14.05,LPLOL,Red,1,3.0,0.3333333333333333
14.05,LVP SL,Blue,14,26.0,0.5384615384615384
14.05,LVP SL,Red,12,26.0,0.46153846153846156
14.05,NACL,Blue,30,58.0,0.5172413793103449
14.05,NACL,Red,28,58.0,0.4827586206896552
14.05,NEXO,Blue,9,19.0,0.47368421052631576
14.05,NEXO,Red,10,19.0,0.5263157894736842
14.05,PCS,Blue,35,65.0,0.5384615384615384
14.05,PCS,Red,30,65.0,0.46153846153846156
14.05,PRM,Blue,15,26.0,0.5769230769230769
14.05,PRM,Red,11,26.0,0.4230769230769231
14.05,TCL,Blue,13,25.0,0.52
14.05,TCL,Red,12,25.0,0.48
14.05,VCS,Blue,13,23.0,0.5652173913043478
14.05,VCS,Red,10,23.0,0.43478260869565216
