iter	Passed	Remaining
402	13490	19985
403	13533	19965
404	13570	19936
405	13607	19907
406	13636	19868
407	13670	19836
408	13700	19796
409	13737	19767
410	13779	19747
411	13811	19711
412	13845	19678
413	13875	19640
414	13909	19606
415	13941	19572
416	13975	19538
417	14012	19510
418	14053	19486
419	14089	19457
420	14126	19428
421	14158	19392
422	14193	19361
423	14228	19328
424	14263	19297
425	14297	19264
426	14341	19245
427	14376	19213
428	14403	19170
429	14437	19138
430	14472	19106
431	14507	19074
432	14540	19039
433	14575	19008
434	14604	18969
435	14632	18928
436	14663	18890
437	14695	18855
438	14726	18819
439	14756	18780
440	14791	18749
441	14826	18718
442	14858	18681
443	14893	18651
444	14927	18617
445	14960	18583
446	14995	18551
447	15031	18520
448	15069	18492
449	15107	18465
450	15146	18437
451	15213	18444
452	15267	18436
453	15301	18401
454	15337	18371
455	15379	18347
456	15415	18316
457	15452	18286
458	15485	18251
459	15522	18221
460	15563	18197
461	15599	18165
462	15640	18140
463	15675	18107
464	15701	18065
465	15734	18030
466	15767	17995
467	15801	17962
468	15836	17929
469	15867	17893
470	15904	17862
471	15944	17836
472	15985	17810
473	16025	17783
474	16057	17748
475	16083	17705
476	16116	17670
477	16154	17641
478	16193	17613
479	16227	17579
480	16266	17551
481	16306	17523
482	16344	17495
483	16383	17466
484	16426	17443
485	16459	17408
486	16491	17372
487	16534	17347
488	16564	17309
489	16600	17278
490	16637	17247
491	16677	17219
492	16712	17187
493	16747	17154
494	16780	17119
495	16815	17086
496	16848	17051
497	16882	17018
498	16919	16987
499	16953	16953
500	16990	16922
501	17025	16889
502	17053	16850
503	17089	16817
504	17119	16780
505	17152	16745
506	17180	16706
507	17216	16674
508	17247	16637
509	17281	16603
510	17312	16567
511	17340	16527
512	17371	16491
513	17401	16453
514	17432	16417
515	17463	16380
516	17498	16347
517	17527	16308
518	17557	16271
519	17591	16238
520	17624	16204
521	17679	16189
522	17718	16159
523	17751	16125
524	17787	16093
525	17818	16057
526	17856	16027
527	17890	15992
528	17927	15962
529	17966	15932
530	17999	15898
531	18034	15864
532	18068	15830
533	18105	15800
534	18138	15764
535	18172	15731
536	18207	15698
537	18245	15667
538	18278	15633
539	18313	15600
540	18344	15563
541	18381	15533
542	18417	15500
543	18451	15466
544	18486	15433
545	18523	15402
546	18557	15368
547	18589	15333
548	18621	15297
549	18657	15265
550	18689	15229
551	18719	15192
552	18751	15157
553	18786	15123
554	18821	15091
555	18855	15057
556	18909	15039
557	18950	15011
558	19000	14989
559	19035	14956
560	19073	14925
561	19107	14891
562	19139	14856
563	19171	14820
564	19214	14793
565	19250	14760
566	19285	14727
567	19321	14695
568	19356	14661
569	19384	14623
570	19419	14590
571	19454	14557
572	19487	14522
573	19525	14490
574	19557	14455
575	19595	14424
576	19625	14387
577	19655	14350
578	19689	14316
579	19723	14282
580	19753	14245
581	19786	14211
582	19822	14178
583	19851	14141
584	19882	14104
585	19915	14070
586	19944	14032
587	19977	13997
588	20007	13961
589	20041	13927
590	20071	13890
591	20095	13849
592	20122	13810
593	20153	13774
594	20180	13736
595	20216	13703
596	20255	13673
597	20287	13638
598	20318	13602
599	20387	13591
600	20444	13572
601	20480	13540
602	20509	13503
603	20544	13469
604	20577	13435
605	20616	13404
606	20651	13370
607	20680	13333
608	20712	13297
609	20748	13265
610	20779	13229
611	20810	13193
612	20838	13155
613	20872	13121
614	20907	13088
615	20941	13054
616	20974	13019
617	21006	12984
618	21038	12949
619	21071	12914
620	21105	12880
621	21139	12847
622	21167	12809
623	21200	12774
624	21234	12740
625	21272	12709
626	21305	12674
627	21343	12642
628	21376	12608
629	21410	12574
630	21439	12537
631	21472	12502
632	21501	12466
633	21536	12432
634	21570	12398
635	21603	12364
636	21646	12335
637	21681	12302
638	21715	12268
639	21755	12237
640	21786	12201
641	21821	12168
642	21854	12134
643	21888	12099
644	21921	12065
645	21951	12029
646	21981	11993
647	22013	11957
648	22041	11920
649	22072	11885
650	22101	11848
651	22134	11813
652	22167	11779
653	22198	11744
654	22233	11710
655	22263	11674
656	22306	11645
657	22349	11616
658	22379	11580
659	22411	11545
660	22446	11511
661	22476	11475
662	22504	11439
663	22544	11408
664	22592	11381
665	22620	11344
666	22652	11309
667	22699	11281
668	22741	11251
669	22785	11222
670	22828	11192
671	22870	11162
672	22906	11130
673	22943	11097
674	22983	11066
675	23022	11034
676	23064	11004
677	23101	10971
678	23157	10947
679	23199	10917
680	23247	10889
681	23293	10861
682	23340	10832
683	23386	10804
684	23425	10772
685	23465	10740
686	23510	10711
687	23556	10682
688	23589	10647
689	23627	10615
690	23664	10582
691	23703	10550
692	23744	10518
693	23789	10489
694	23838	10461
695	23879	10429
696	23916	10396
697	23956	10364
698	24000	10335
699	24049	10306
700	24094	10277
701	24134	10245
702	24171	10212
703	24210	10179
704	24256	10149
705	24298	10118
706	24343	10088
707	24381	10055
708	24418	10022
709	24459	9990
710	24499	9958
711	24533	9923
712	24571	9890
713	24607	9856
714	24643	9822
715	24681	9789
716	24719	9756
717	24753	9721
718	24791	9689
719	24829	9655
720	24865	9621
721	24898	9586
722	24939	9554
723	24974	9520
724	25043	9499
725	25080	9465
726	25118	9432
727	25160	9400
728	25206	9370
729	25248	9338
730	25286	9305
731	25323	9271
732	25365	9239
733	25406	9207
734	25448	9175
735	25487	9142
736	25529	9110
737	25567	9076
738	25606	9043
739	25643	9009
740	25680	8976
741	25717	8942
742	25753	8908
743	25789	8873
744	25827	8840
745	25866	8807
746	25901	8772
747	25971	8749
748	26032	8723
749	26079	8693
750	26120	8660
751	26160	8627
752	26199	8594
753	26240	8561
754	26274	8526
755	26310	8491
756	26346	8457
757	26380	8422
758	26411	8386
759	26445	8351
760	26479	8316
761	26511	8280
762	26552	8247
763	26593	8214
764	26629	8180
765	26666	8146
766	26702	8111
767	26738	8077
768	26776	8043
769	26811	8008
770	26843	7973
771	26878	7938
772	26917	7904
773	26951	7869
774	26985	7834
775	27021	7799
776	27054	7764
777	27088	7729
778	27123	7694
779	27160	7660
780	27196	7626
781	27239	7593
782	27278	7559
783	27311	7524
784	27342	7488
785	27375	7453
786	27409	7418
787	27450	7385
788	27488	7351
789	27520	7315
790	27557	7281
791	27596	7247
792	27634	7213
793	27668	7178
794	27700	7142
795	27737	7108
796	27778	7075
797	27815	7041
798	27850	7006
799	27886	6971
800	27923	6937
801	27963	6903
802	27994	6867
803	28029	6833
804	28069	6799
805	28103	6764
806	28142	6730
807	28179	6696
808	28211	6660
809	28251	6626
810	28287	6592
811	28323	6557
812	28357	6522
813	28397	6488
814	28434	6454
815	28469	6419
816	28503	6384
817	28545	6351
818	28580	6316
819	28618	6282
820	28652	6247
821	28688	6212
822	28723	6177
823	28759	6142
824	28794	6108
825	28825	6072
826	28858	6036
827	28892	6001
828	28926	5966
829	28970	5933
830	29011	5900
831	29047	5865
832	29082	5830
833	29118	5795
834	29153	5760
835	29197	5727
836	29238	5693
837	29271	5658
838	29308	5624
839	29341	5588
840	29379	5554
841	29415	5519
842	29448	5484
843	29488	5450
844	29533	5417
845	29576	5383
846	29615	5349
847	29659	5316
848	29713	5284
849	29754	5250
850	29797	5217
851	29833	5182
852	29869	5147
853	29910	5113
854	29953	5079
855	29996	5046
856	30038	5012
857	30076	4977
858	30116	4943
859	30159	4909
860	30197	4875
861	30238	4840
862	30274	4805
863	30307	4770
864	30342	4735
865	30383	4701
866	30422	4666
867	30466	4633
868	30500	4597
869	30535	4562
870	30577	4528
871	30611	4493
872	30643	4457
873	30678	4422
874	30715	4387
875	30753	4353
876	30792	4318
877	30828	4283
878	30866	4248
879	30900	4213
880	30936	4178
881	30971	4143
882	31007	4108
883	31044	4073
884	31082	4038
885	31114	4003
886	31152	3968
887	31190	3933
888	31231	3899
889	31263	3864
890	31297	3828
891	31340	3794
892	31386	3760
893	31426	3726
894	31464	3691
895	31505	3656
896	31548	3622
897	31585	3587
898	31633	3553
899	31678	3519
900	31727	3486
901	31771	3451
902	31822	3418
903	31865	3383
904	31903	3349
905	31943	3314
906	31986	3279
907	32029	3245
908	32069	3210
909	32110	3175
910	32150	3140
911	32192	3106
912	32231	3071
913	32265	3035
914	32330	3003
915	32394	2970
916	32433	2935
917	32478	2901
918	32519	2866
919	32565	2831
920	32611	2797
921	32666	2763
922	32708	2728
923	32751	2693
924	32791	2658
925	32826	2623
926	32871	2588
927	32916	2553
928	32957	2518
929	32996	2483
930	33040	2448
931	33078	2413
932	33114	2377
933	33155	2342
934	33198	2307
935	33244	2273
936	33290	2238
937	33329	2203
938	33370	2167
939	33412	2132
940	33452	2097
941	33488	2061
942	33527	2026
943	33565	1991
944	33598	1955
945	33641	1920
946	33684	1885
947	33730	1850
948	33769	1814
949	33807	1779
950	33847	1744
951	33885	1708
952	33925	1673
953	33969	1637
954	34029	1603
955	34084	1568
956	34142	1534
957	34188	1498
958	34244	1464
959	34281	1428
960	34322	1392
961	34355	1357
962	34393	1321
963	34432	1285
964	34468	1250
965	34506	1214
966	34538	1178
967	34575	1142
968	34620	1107
969	34656	1071
970	34695	1036
971	34735	1000
972	34776	965
973	34811	929
974	34849	893
975	34891	857
976	34931	822
977	34971	786
978	35010	750
979	35052	715
980	35093	679
981	35130	643
982	35166	608
983	35214	572
984	35256	536
985	35296	501
986	35355	465
987	35397	429
988	35442	394
989	35478	358
990	35514	322
991	35551	286
992	35585	250
993	35621	215
994	35654	179
995	35692	143
996	35729	107
997	35768	71
998	35804	35
999	35854	0
