iter	Logloss
152	0.6040939443
153	0.6039748481
154	0.6037576254
155	0.6035691313
156	0.6034220778
157	0.6032886676
158	0.6031214722
159	0.6029166168
160	0.6027596258
161	0.6025949325
162	0.6023347531
163	0.6021856392
164	0.601966024
165	0.6018343034
166	0.6015807621
167	0.6013653773
168	0.6012285397
169	0.6010252816
170	0.6009003826
171	0.6007640703
172	0.6005377924
173	0.6003628832
174	0.6002384463
175	0.6000942131
176	0.5999462217
177	0.5997846643
178	0.5996157599
179	0.5994421366
180	0.5992774082
181	0.5991035582
182	0.5989946004
183	0.5988731813
184	0.5987344733
185	0.598674727
186	0.5985983808
187	0.5984279675
188	0.5982724819
189	0.5981447932
190	0.597906324
191	0.5977547001
192	0.5975152859
193	0.597379174
194	0.5972549525
195	0.5971498401
196	0.5969776923
197	0.596818626
198	0.5966580743
199	0.5965311049
200	0.5962804556
201	0.5961017404
202	0.5958510681
203	0.595680981
204	0.5955232758
205	0.5954937635
206	0.5953462199
207	0.5951547981
208	0.5949436354
209	0.5948667502
210	0.5946425496
211	0.5946312792
212	0.5944473793
213	0.5942749257
214	0.5941058472
215	0.5939857161
216	0.5938673216
217	0.5937543766
218	0.5937011349
219	0.5934430249
220	0.5933369196
221	0.5932566372
222	0.5930647981
223	0.5929502671
224	0.5927671362
225	0.5926868874
226	0.592518612
227	0.5923805657
228	0.5921913291
229	0.5920482307
230	0.5919691813
231	0.5917992457
232	0.5917063015
233	0.591451793
234	0.5912894462
235	0.5911228896
236	0.5909999363
237	0.5907920692
238	0.5907400027
239	0.5905719882
240	0.5903331942
241	0.59023463
242	0.5901044325
243	0.5899827283
244	0.5898163675
245	0.5896997234
246	0.5895695297
247	0.5893924277
248	0.5892871207
249	0.5890900206
250	0.5889769092
251	0.5888097828
252	0.5887177441
253	0.5887085238
254	0.5884647013
255	0.5882854213
256	0.5881736663
257	0.5879563693
258	0.5878333746
259	0.5876866006
260	0.5875492438
261	0.5874075976
262	0.5873012387
263	0.5871079245
264	0.5870975331
265	0.5869682589
266	0.5868681466
267	0.586738908
268	0.5866481299
269	0.5865349154
270	0.5863392004
271	0.5862451924
272	0.5860959076
273	0.5860061721
274	0.5858575082
275	0.5856408952
276	0.5854730613
277	0.5853805054
278	0.5852723052
279	0.5851082166
280	0.5849436092
281	0.5848453274
282	0.5846464284
283	0.5844807737
284	0.5843732298
285	0.5842952842
286	0.5841843534
287	0.5840929113
288	0.5840281269
289	0.5838937276
290	0.5837228366
291	0.5835608764
292	0.5834077771
293	0.5832468015
294	0.583112583
295	0.58300611
296	0.582845952
297	0.5826829911
298	0.5825487498
299	0.5822673378
300	0.5821263885
301	0.5819200629
302	0.5817876467
303	0.5816050289
304	0.5815176453
305	0.5814151952
306	0.5813132614
307	0.5811923657
308	0.5810391843
309	0.5808158996
310	0.5807222788
311	0.5806140947
312	0.580571997
313	0.5804905131
314	0.5802972958
315	0.5801489069
316	0.580039878
317	0.5798909543
318	0.5797613857
319	0.5795447916
320	0.5792946967
321	0.5791910665
322	0.5790618075
323	0.5788865357
324	0.5786836779
325	0.5785243946
326	0.5784023963
327	0.5782515112
328	0.5781362634
329	0.5780107179
330	0.5778799702
331	0.5776697113
332	0.5775487041
333	0.5774344622
334	0.5772362211
335	0.5771436513
336	0.5770621586
337	0.5769093734
338	0.5767867415
339	0.5765635704
340	0.5763987148
341	0.5762059608
342	0.5760730674
343	0.5758561693
344	0.5757503774
345	0.5756860489
346	0.5755654073
347	0.5752881499
348	0.5751868411
349	0.5750799056
350	0.5748998205
351	0.5748044129
352	0.5746486358
353	0.5744350305
354	0.5743151493
355	0.5742066001
356	0.5740496679
357	0.5739657752
358	0.5738142971
359	0.5737312831
360	0.5736395328
361	0.5735829814
362	0.5734062499
363	0.5732790392
364	0.5731024384
365	0.5729773052
366	0.5728311729
367	0.572671345
368	0.5725613309
369	0.5723583836
370	0.572215266
371	0.5720892676
372	0.5719118509
373	0.5717537031
374	0.5715505117
375	0.571469983
376	0.5713219397
377	0.5710242477
378	0.5708139936
379	0.5707256484
380	0.5705628636
381	0.5704469638
382	0.5703062379
383	0.5701966261
384	0.570035017
385	0.5698744312
386	0.5696166386
387	0.5693965826
388	0.5691580947
389	0.5689870088
390	0.5688017868
391	0.5686492991
392	0.5685005219
393	0.5683968601
394	0.5682149614
395	0.5681388658
396	0.5679321923
397	0.5677996431
398	0.5676787658
399	0.5675489635
400	0.5674066015
401	0.5671863937
402	0.5670127531
403	0.5669113763
404	0.5665392579
405	0.5664103766
406	0.5662800491
407	0.5660890302
408	0.5659574508
409	0.5658975691
410	0.5657019603
411	0.5654810991
412	0.565335241
413	0.5651569613
414	0.5650229123
415	0.5648935202
416	0.5648242617
417	0.5645981015
418	0.564381786
419	0.5640676327
420	0.5639998678
421	0.5637581268
422	0.5635042422
423	0.5632791957
424	0.5631934054
425	0.563065729
426	0.5628972018
427	0.5626292624
428	0.562426983
429	0.5622706582
430	0.5620068977
431	0.5618593957
432	0.5616513223
433	0.5613882079
434	0.5611721017
435	0.5610893906
436	0.5609659444
437	0.5607597367
438	0.5604932242
439	0.5603843064
440	0.5601985271
441	0.5600090976
442	0.5598017103
443	0.5596890982
444	0.5594386629
445	0.5592804164
446	0.5591946153
447	0.5590357345
448	0.5589083558
449	0.5586871758
450	0.5585633824
451	0.5582858398
452	0.5581669372
453	0.5580562345
454	0.5579192058
455	0.5578419827
456	0.5576758148
457	0.5574693886
458	0.5572916769
459	0.5571165513
460	0.5568723593
461	0.5566362543
462	0.5564753469
463	0.5562669895
464	0.5561390638
465	0.5560062012
466	0.5558668611
467	0.5556601691
468	0.5554850186
469	0.5554009385
470	0.5552815156
471	0.5551057688
472	0.5549360918
473	0.5547665278
474	0.5546818195
475	0.5546008643
476	0.5544845313
477	0.5543193884
478	0.5542744908
479	0.5541668208
480	0.554063124
481	0.5538167843
482	0.553701526
483	0.5536175339
484	0.5534676375
485	0.5532377798
486	0.5530676877
487	0.5529642356
488	0.5529252851
489	0.5528440806
490	0.5527392317
491	0.552618702
492	0.5525654762
493	0.5524410886
494	0.5522791699
495	0.5520683105
496	0.5519854699
497	0.5518835121
498	0.551799151
499	0.5517301688
500	0.551586159
501	0.5514870787
502	0.5513770263
503	0.5512860093
504	0.5512156254
505	0.551114939
506	0.5510080225
507	0.5509109669
508	0.5507835107
509	0.5506728821
510	0.5504851963
511	0.5504076812
512	0.5503234558
513	0.5501430398
514	0.5499182416
515	0.5497831958
516	0.5496501722
517	0.5495227849
518	0.5493592757
519	0.5492024309
520	0.5490370008
521	0.5489210593
522	0.5487904213
523	0.5486377706
524	0.5484256408
525	0.5483050749
526	0.548162566
527	0.5480834864
528	0.5479118847
529	0.5477014103
530	0.5473915269
531	0.5471606226
532	0.5470388695
533	0.5469296723
534	0.5467414203
535	0.5465534583
536	0.5464505318
537	0.5461746527
538	0.5460866887
539	0.5460239514
540	0.5459475153
541	0.5457298098
542	0.5455800587
543	0.5454623583
544	0.545352692
545	0.5452836338
546	0.5451843582
547	0.5450105723
548	0.5449320996
549	0.5447170239
550	0.5445910945
551	0.5444904722
552	0.5443640084
553	0.5441169417
554	0.5439598234
555	0.543807287
556	0.5436508022
557	0.5435110715
558	0.5433382655
559	0.5432504891
560	0.5432127061
561	0.5430266398
562	0.5429141235
563	0.5427001267
564	0.5426026871
565	0.5423479242
566	0.5422161602
567	0.5420070862
568	0.5418434275
569	0.5416467568
570	0.5412918048
571	0.5412240005
572	0.5410396011
573	0.5409542772
574	0.5408623256
575	0.5406381005
576	0.5405280318
577	0.5404138534
578	0.5402848367
579	0.5401755179
580	0.5399830634
581	0.5398001714
582	0.5397267727
583	0.5396226755
584	0.5395249593
585	0.5393593712
586	0.5392945205
587	0.5391525972
588	0.5390694922
589	0.5390100265
590	0.5389417943
591	0.5387723935
592	0.5386522142
593	0.5385664398
594	0.5384313965
595	0.5381935042
596	0.5380990769
597	0.5378424305
598	0.5376815779
599	0.5375717957
600	0.5374370066
601	0.5372752934
602	0.5369919307
603	0.5368835581
604	0.5367836051
605	0.5366194044
606	0.5364706505
607	0.5363122435
608	0.5361900063
609	0.5360305724
610	0.5359946481
611	0.5359458347
612	0.5357598326
613	0.5355796888
614	0.5353916311
615	0.5352052032
616	0.5351388091
617	0.5350111247
618	0.534933226
619	0.5346708771
620	0.534586971
621	0.534476847
622	0.5342749316
623	0.5342066701
624	0.5339807905
625	0.533871234
626	0.5338024524
627	0.5336616952
628	0.533560325
629	0.5333034039
630	0.533239344
631	0.5330136329
632	0.5329372211
633	0.5327909289
634	0.5326314534
635	0.5325470301
636	0.5324283066
637	0.5322636411
638	0.5320434328
639	0.5319147543
640	0.531817542
641	0.5317123029
642	0.5315490463
643	0.5314495762
644	0.5313606678
645	0.5312479791
646	0.531201309
647	0.5310659145
648	0.5309765037
649	0.5308773225
650	0.5307920506
651	0.5306537136
652	0.5305291458
653	0.5304421763
654	0.5303614521
655	0.5302674227
656	0.5301664649
657	0.5300199217
658	0.5298377972
659	0.5297647396
660	0.5296456071
661	0.529518311
662	0.5293719305
663	0.5292307836
664	0.5291187759
665	0.5290152099
666	0.5288809204
667	0.5286761168
668	0.5285874755
669	0.5284898641
670	0.5283640654
671	0.5282553945
672	0.5281771648
673	0.5279593449
674	0.5279059908
675	0.5278094301
676	0.5276116048
677	0.5274545986
678	0.5273094395
679	0.5271768444
680	0.52709163
681	0.5269799162
682	0.5267252652
683	0.526601907
684	0.5264194067
685	0.5263239875
686	0.5262493915
687	0.5260120102
688	0.5259170466
689	0.5257984915
690	0.5257203988
691	0.5254867885
692	0.5253004423
693	0.5251915486
694	0.5249859118
695	0.5248722081
696	0.5247262778
697	0.5245377476
698	0.524363612
699	0.5242580529
700	0.5241050087
701	0.5239634393
702	0.523917965
703	0.5237861374
704	0.523588053
705	0.5234270117
706	0.5232970495
707	0.5231951881
708	0.5230368558
709	0.5228700496
710	0.5227115163
711	0.5226035066
712	0.5224393174
713	0.5222956887
714	0.5222104188
715	0.5221165147
716	0.5218864344
717	0.5217614259
718	0.5216397186
719	0.5215413796
720	0.5213914343
721	0.5212637303
722	0.5211413663
723	0.5210235313
724	0.5209484442
725	0.5208340355
726	0.5207115345
727	0.5205631188
728	0.5204995491
729	0.5203872207
730	0.520291142
731	0.5200973756
732	0.5199584482
733	0.519846754
734	0.5196683204
735	0.5196015387
736	0.51951569
737	0.5194033886
738	0.5192466982
739	0.5191416683
740	0.5189689661
741	0.518892683
742	0.5187855374
743	0.5186855408
744	0.5186348287
745	0.5184669945
746	0.5184286907
747	0.5183147034
748	0.5181578696
749	0.5180698054
750	0.5180047455
751	0.5178349476
752	0.5176604011
753	0.5175689899
754	0.5174110695
755	0.5173457716
756	0.5172869276
757	0.5171195929
758	0.517025441
759	0.5169307662
760	0.5167636318
761	0.5166564573
762	0.5165834224
763	0.5164492741
764	0.516274853
765	0.5160558615
766	0.5159858336
767	0.5158554916
768	0.515699713
769	0.5155704504
770	0.5154825917
771	0.515354462
772	0.5152514198
773	0.5151075556
774	0.5149560817
775	0.5148218753
776	0.5147268296
777	0.5145977091
778	0.5143894835
779	0.5142231016
780	0.5141077074
781	0.5140066282
782	0.5139406556
783	0.513790604
784	0.5136392535
785	0.5135989904
786	0.5135267253
787	0.5134433161
788	0.5132923893
789	0.5131242691
790	0.5130041939
791	0.512860494
792	0.5127183996
793	0.5125765286
794	0.5123720262
795	0.5122752548
796	0.5121968619
797	0.5121168377
798	0.5119720794
799	0.5118679397
800	0.5118406696
801	0.5117396574
802	0.5116400763
803	0.5114036816
804	0.511273263
805	0.5111119958
806	0.5109878699
807	0.5108927665
808	0.5108303994
809	0.5107543078
810	0.5106702668
811	0.5105899855
812	0.5104686993
813	0.5103797081
814	0.5102884344
815	0.5101546502
816	0.5100424118
817	0.5099225108
818	0.5098704621
819	0.5098060116
820	0.5096902578
821	0.5096156501
822	0.5095124899
823	0.5094305854
824	0.5092626443
825	0.5091636125
826	0.5090850954
827	0.5089722678
828	0.5088747237
829	0.5087578196
830	0.508688236
831	0.5085538881
832	0.508445029
833	0.5083660078
834	0.5083124614
835	0.5082614048
836	0.5081119588
837	0.5079837566
838	0.5078512694
839	0.5076724993
840	0.5075715512
841	0.5074441466
842	0.5073438016
843	0.5072704963
844	0.5071746678
845	0.5070159635
846	0.5069051469
847	0.5068112189
848	0.5066348921
849	0.5065169728
850	0.506459161
851	0.5064004268
852	0.5063072422
853	0.5062174427
854	0.5061563029
855	0.5060319161
856	0.5059234329
857	0.5058200251
858	0.5056483551
859	0.5054542294
860	0.5053389103
861	0.5052836648
862	0.5051599492
863	0.5049927768
864	0.504917367
865	0.504747303
866	0.504673125
867	0.5044858437
868	0.5043294475
869	0.5042108778
870	0.5041268715
871	0.5039674111
872	0.5039114458
873	0.503823398
874	0.5037409128
875	0.5036508668
876	0.5035294671
877	0.503455493
878	0.5034185448
879	0.5032046756
880	0.5029946826
881	0.5029001915
882	0.5027806886
883	0.5027017193
884	0.502618376
885	0.5024655652
886	0.5023534608
887	0.5021782076
888	0.5021148649
889	0.5020292087
890	0.5019438514
891	0.501844459
892	0.501768959
893	0.5017271695
894	0.5016524084
895	0.501474213
896	0.5013928182
897	0.5012299011
898	0.5010784722
899	0.5009119468
900	0.5008455557
901	0.5008120714
902	0.5006896437
903	0.5006155845
904	0.5005251811
905	0.5003088898
906	0.5002772908
907	0.5001648362
908	0.500087406
909	0.5000021594
910	0.4998952019
911	0.4997456314
912	0.4996214428
913	0.4995374934
914	0.4995102767
915	0.4993898994
916	0.4992432005
917	0.4991218763
918	0.4990027652
919	0.4988935908
920	0.4987454822
921	0.4986099054
922	0.4985123932
923	0.4983555062
924	0.4982743366
925	0.4981327027
926	0.498000795
927	0.4979016629
928	0.4977957011
929	0.4976676973
930	0.4975797288
931	0.497426782
932	0.497365747
933	0.4972052256
934	0.4970683721
935	0.4969560696
936	0.4968448575
937	0.4967544206
938	0.4966475548
939	0.496441618
940	0.496317806
941	0.4961471677
942	0.4960726737
943	0.4960071667
944	0.4959129448
945	0.4957850799
946	0.4957407952
947	0.4955173199
948	0.495343094
949	0.4951929717
950	0.4950361831
951	0.4949816232
952	0.4948914502
953	0.4947551416
954	0.4947255825
955	0.494624869
956	0.4945399144
957	0.4944363866
958	0.4943280227
959	0.4942609617
960	0.4941229922
961	0.4939808898
962	0.4938872934
963	0.4938192331
964	0.4936767142
965	0.4935593628
966	0.4934502933
967	0.4933263641
968	0.493243552
969	0.4931826867
970	0.4931028843
971	0.4929840745
972	0.4928504726
973	0.4927449327
974	0.4926505978
975	0.4925461711
976	0.492432249
977	0.492309601
978	0.4922116738
979	0.4920315351
980	0.4919225237
981	0.4917702046
982	0.4915975641
983	0.4915507782
984	0.4914974751
985	0.4914227782
986	0.4913532362
987	0.4912649388
988	0.4911661157
989	0.4910101488
990	0.4909557197
991	0.4909016191
992	0.4907986807
993	0.4906743547
994	0.4906121134
995	0.4905317527
996	0.4903871676
997	0.4902847943
998	0.4901694605
999	0.4900543638
